Brain cancer	FHL3
Brain cancer	FLI1
Brain cancer	GFAP
Brain cancer	GLI1
Brain cancer	GLI2
Brain cancer	HIC1
Brain cancer	HES1
Brain cancer	IDH1
Brain cancer	IL2
Brain cancer	MARK3
Brain cancer	MB
Brain cancer	MGMT
Brain cancer	MPL
Brain cancer	MYC
Brain cancer	MYCL
Brain cancer	MYCN
Brain cancer	PPP1R12A
Brain cancer	NOTCH2
Brain cancer	NTRK3
Brain cancer	OTX2
Brain cancer	PCNA
Brain cancer	PDGFRA
Brain cancer	PIK3CG
Brain cancer	PMS2
Brain cancer	PON1
Brain cancer	PTCH1
Brain cancer	RELA
Brain cancer	S100A4
Brain cancer	S100A6
Brain cancer	S100A10
Brain cancer	SCG5
Brain cancer	SHH
Brain cancer	SKP2
Brain cancer	SMARCB1
Brain cancer	SMO
Brain cancer	SOD2
Brain cancer	SPP1
Brain cancer	STAT3
Brain cancer	SYP
Brain cancer	TGM2
Brain cancer	TP53
Brain cancer	TRPC6
Brain cancer	VAV1
Brain cancer	VEGFA
Brain cancer	KAT6A
Brain cancer	PPM1D
Brain cancer	PTCH2
Brain cancer	IRS2
Brain cancer	PROM1
Brain cancer	TSC22D1
Brain cancer	CLDN6
Brain cancer	CROCC
Brain cancer	RAB11FIP3
Brain cancer	OLIG2
Brain cancer	SCML2
Brain cancer	NES
Brain cancer	RASSF1
Brain cancer	SLITRK3
Brain cancer	KDM4B
Brain cancer	KDM4C
Brain cancer	SIRT1
Brain cancer	HEY1
Brain cancer	PRAME
Brain cancer	SLITRK5
Brain cancer	EML4
Brain cancer	DLL1
Brain cancer	JKAMP
Brain cancer	SUFU
Brain cancer	PRDM10
Brain cancer	PRDM13
Brain cancer	FAM184A
Brain cancer	EHMT1
Brain cancer	L3MBTL2
Brain cancer	SLITRK6
Brain cancer	RHBDD1
Brain cancer	L3MBTL3
Brain cancer	SRRM4
Brain cancer	SLITRK2
Brain cancer	STRADA
Brain cancer	DTX2
Brain cancer	SMYD4
Brain cancer	DIS3L
Brain cancer	OR14C36
Brain cancer	SLITRK4
Brain cancer	KCTD11
Brain cancer	OR4C12
Brain cancer	FAM83H
Brain cancer	HES5
Brain cancer	NRARP
Lung cancer	ADCY1
Lung cancer	AHR
Lung cancer	AKT1
Lung cancer	ALB
Lung cancer	ALDOA
Lung cancer	ALK
Lung cancer	ANXA1
Lung cancer	ANXA5
Lung cancer	APC
Lung cancer	BIRC5
Lung cancer	APOA1
Lung cancer	APP
Lung cancer	FASLG
Lung cancer	AREG
Lung cancer	ATF3
Lung cancer	AVP
Lung cancer	AXL
Lung cancer	CCND1
Lung cancer	BCL2L1
Lung cancer	BRAF
Lung cancer	CAPG
Lung cancer	CASP3
Lung cancer	CASP8
Lung cancer	CAT
Lung cancer	RUNX1T1
Lung cancer	CD4
Lung cancer	CD8A
Lung cancer	CD9
Lung cancer	CD74
Lung cancer	CDH1
Lung cancer	CDH13
Lung cancer	CDKN1A
Lung cancer	CDKN2A
Lung cancer	CHGA
Lung cancer	CHRNA3
Lung cancer	CHRNA5
Lung cancer	CHRNB4
Lung cancer	CKB
Lung cancer	COL4A2
Lung cancer	CREBBP
Lung cancer	CSF3
Lung cancer	CST6
Lung cancer	CYLD
Lung cancer	CYP1A1
Lung cancer	CYP2A6
Lung cancer	CYP2A7
Lung cancer	CYP2E1
Lung cancer	DAPK1
Lung cancer	AKR1C1
Lung cancer	NQO1
Lung cancer	DUSP3
Lung cancer	EGF
Lung cancer	EGFR
Lung cancer	ELAVL2
Lung cancer	ENO1
Lung cancer	ENO2
Lung cancer	EP300
Lung cancer	EPHA7
Lung cancer	ERBB2
Lung cancer	ERBB3
Lung cancer	ERCC1
Lung cancer	ERCC2
Lung cancer	BPTF
Lung cancer	FGF9
Lung cancer	FGFR1
Lung cancer	FGR
Lung cancer	FHIT
Lung cancer	FOXM1
Lung cancer	FOXO3
Lung cancer	FLT1
Lung cancer	MTOR
Lung cancer	GIPR
Lung cancer	GCLC
Lung cancer	GNG11
Lung cancer	SFN
Lung cancer	GRIK3
Lung cancer	GRM8
Lung cancer	GRP
Lung cancer	GSTA1
Lung cancer	GSTA2
Lung cancer	GSTA3
Lung cancer	GSTA4
Lung cancer	GSTM1
Lung cancer	GSTM2
Lung cancer	GSTP1
Lung cancer	GSTT1
Lung cancer	MSH6
Lung cancer	HSD17B10
Lung cancer	HIF1A
Lung cancer	HMGB2
Lung cancer	HNRNPA2B1
Lung cancer	HRAS
Lung cancer	HES1
Lung cancer	HSPB1
Lung cancer	IGF1R
Lung cancer	IL2
Lung cancer	IL6
Lung cancer	IL6R
Lung cancer	CXCL8
Lung cancer	IL10
Lung cancer	IRF1
Lung cancer	ITGB1
Lung cancer	JUN
Lung cancer	JUNB
Lung cancer	KDR
Lung cancer	KIF5B
Lung cancer	KIT
Lung cancer	KRAS
Lung cancer	KRT7
Lung cancer	KRT19
Lung cancer	LGALS1
Lung cancer	LMNA
Lung cancer	EPCAM
Lung cancer	MCL1
Lung cancer	MDM2
Lung cancer	MET
Lung cancer	MIPEP
Lung cancer	KMT2A
Lung cancer	MMP1
Lung cancer	MMP2
Lung cancer	MMP9
Lung cancer	MMP11
Lung cancer	MSH3
Lung cancer	MT3
Lung cancer	MYC
Lung cancer	MYCL
Lung cancer	NCAM1
Lung cancer	NFE2L2
Lung cancer	NNAT
Lung cancer	NODAL
Lung cancer	NOTCH3
Lung cancer	NPPA
Lung cancer	NRAS
Lung cancer	OGG1
Lung cancer	SLC22A18
Lung cancer	OXTR
Lung cancer	PRDX1
Lung cancer	PGAM1
Lung cancer	ABCB1
Lung cancer	PIK3CA
Lung cancer	PIK3CB
Lung cancer	PIK3CD
Lung cancer	PIK3CG
Lung cancer	POMC
Lung cancer	PPIA
Lung cancer	PPP2R1B
Lung cancer	MAPK3
Lung cancer	MAP2K1
Lung cancer	PTEN
Lung cancer	PTGS2
Lung cancer	PTHLH
Lung cancer	PXN
Lung cancer	RAF1
Lung cancer	RARB
Lung cancer	RB1
Lung cancer	RHEB
Lung cancer	ROBO1
Lung cancer	ROS1
Lung cancer	RRAD
Lung cancer	RRM1
Lung cancer	SALL1
Lung cancer	SDC4
Lung cancer	SKI
Lung cancer	SMARCA4
Lung cancer	SOD2
Lung cancer	SOX2
Lung cancer	SRC
Lung cancer	STAT3
Lung cancer	STK11
Lung cancer	SYP
Lung cancer	TERT
Lung cancer	TF
Lung cancer	TGFA
Lung cancer	NKX2-1
Lung cancer	TOP1
Lung cancer	TP53
Lung cancer	PHLDA2
Lung cancer	TXK
Lung cancer	TYMS
Lung cancer	UCHL1
Lung cancer	VEGFA
Lung cancer	VEGFC
Lung cancer	XPC
Lung cancer	XRCC1
Lung cancer	NCOA3
Lung cancer	RECK
Lung cancer	KHSRP
Lung cancer	TP63
Lung cancer	DNAH11
Lung cancer	ABCC3
Lung cancer	PROM1
Lung cancer	ST3GAL5
Lung cancer	EIF2B4
Lung cancer	EIF2B5
Lung cancer	MTMR3
Lung cancer	OSMR
Lung cancer	B4GALT5
Lung cancer	SLIT2
Lung cancer	CDYL
Lung cancer	ABCG2
Lung cancer	NAPSA
Lung cancer	ADAMTS1
Lung cancer	APOBEC3B
Lung cancer	RIMS2
Lung cancer	BCLAF1
Lung cancer	KEAP1
Lung cancer	COL4A3BP
Lung cancer	RBM7
Lung cancer	NDRG1
Lung cancer	ATP5H
Lung cancer	SLC34A2
Lung cancer	PDPN
Lung cancer	CHL1
Lung cancer	ERP29
Lung cancer	RASSF1
Lung cancer	RASSF8
Lung cancer	DIP2C
Lung cancer	KDM1A
Lung cancer	SATB2
Lung cancer	DICER1
Lung cancer	PRAME
Lung cancer	SMUG1
Lung cancer	CORO1C
Lung cancer	QPCT
Lung cancer	MXRA5
Lung cancer	CNTNAP2
Lung cancer	HPGDS
Lung cancer	EML4
Lung cancer	PYCARD
Lung cancer	CD274
Lung cancer	PRR13
Lung cancer	UGT1A1
Lung cancer	KIF21A
Lung cancer	CHFR
Lung cancer	CNDP2
Lung cancer	VIMP
Lung cancer	PLSCR4
Lung cancer	AVEN
Lung cancer	LRFN2
Lung cancer	ZDBF2
Lung cancer	PLBD1
Lung cancer	CLPTM1L
Lung cancer	AZIN2
Lung cancer	TMEM132D
Lung cancer	C20orf85
Lung cancer	VTI1A
Lung cancer	XXYLT1
Lung cancer	COL22A1
Lung cancer	LYRM9
Lung cancer	TMED4
Lung cancer	PCSK9
Lung cancer	DCBLD1
Kidney cancer	ACHE
Kidney cancer	ACY1
Kidney cancer	ALAD
Kidney cancer	ALDH1A1
Kidney cancer	ALK
Kidney cancer	ANXA1
Kidney cancer	ANXA2
Kidney cancer	ANXA4
Kidney cancer	APAF1
Kidney cancer	APC
Kidney cancer	BIRC5
Kidney cancer	APRT
Kidney cancer	ATP7B
Kidney cancer	BCHE
Kidney cancer	CCND1
Kidney cancer	BMP7
Kidney cancer	BRAF
Kidney cancer	BRCA2
Kidney cancer	CA2
Kidney cancer	CA9
Kidney cancer	CALD1
Kidney cancer	CAPG
Kidney cancer	CASP2
Kidney cancer	CCBL1
Kidney cancer	CD4
Kidney cancer	CD8A
Kidney cancer	CD34
Kidney cancer	SCARB1
Kidney cancer	CDH1
Kidney cancer	CDH6
Kidney cancer	CDH16
Kidney cancer	CDH17
Kidney cancer	CDKN1B
Kidney cancer	CDKN2A
Kidney cancer	CDKN2B
Kidney cancer	CNN2
Kidney cancer	CLDN7
Kidney cancer	CRABP1
Kidney cancer	CRYAB
Kidney cancer	CTNNA1
Kidney cancer	CTNNB1
Kidney cancer	CTSB
Kidney cancer	CTSD
Kidney cancer	CYP1A1
Kidney cancer	DAPK1
Kidney cancer	EEF2
Kidney cancer	EGR1
Kidney cancer	EIF4EBP1
Kidney cancer	EPAS1
Kidney cancer	ERBB2
Kidney cancer	MECOM
Kidney cancer	FH
Kidney cancer	FHIT
Kidney cancer	FLT1
Kidney cancer	FOSL2
Kidney cancer	MTOR
Kidney cancer	GJB1
Kidney cancer	GPC3
Kidney cancer	GRB7
Kidney cancer	GSTM1
Kidney cancer	GSTP1
Kidney cancer	GSTT1
Kidney cancer	HARS
Kidney cancer	HIF1A
Kidney cancer	HSPA9
Kidney cancer	HSPB1
Kidney cancer	HSPD1
Kidney cancer	IFNA1
Kidney cancer	IFNA2
Kidney cancer	IGF1R
Kidney cancer	IGF2
Kidney cancer	IGFBP7
Kidney cancer	IL2
Kidney cancer	IL4R
Kidney cancer	IL13
Kidney cancer	ITPR2
Kidney cancer	JUN
Kidney cancer	JUNB
Kidney cancer	JUND
Kidney cancer	KCNMA1
Kidney cancer	KDR
Kidney cancer	KIT
Kidney cancer	KRAS
Kidney cancer	KRT7
Kidney cancer	KRT8
Kidney cancer	KRT32
Kidney cancer	L1CAM
Kidney cancer	LDHB
Kidney cancer	M6PR
Kidney cancer	MET
Kidney cancer	MITF
Kidney cancer	MME
Kidney cancer	CITED1
Kidney cancer	MUC4
Kidney cancer	MYC
Kidney cancer	NF2
Kidney cancer	NPHS1
Kidney cancer	OGG1
Kidney cancer	PAK1
Kidney cancer	PAX2
Kidney cancer	PAX6
Kidney cancer	PDHB
Kidney cancer	PGK1
Kidney cancer	ABCB1
Kidney cancer	PIK3CA
Kidney cancer	POMC
Kidney cancer	PPAT
Kidney cancer	PRCC
Kidney cancer	MAPK1
Kidney cancer	MAPK3
Kidney cancer	PSMD7
Kidney cancer	PTEN
Kidney cancer	PTGS1
Kidney cancer	PTGS2
Kidney cancer	PVALB
